,id,date,tweet,hashtags,username,place,geo,timezone,parse_tweet
0,1353492222344392707,2021-01-25 07:57:47,idk bothering alcohol inflation time high rn,[],MphoKgosidialwa,,,800,idk bother alcohol inflation time high rn
1,1353492195827965952,2021-01-25 07:57:40,inflation much money means prices rise eventually gas gallon,[],AllenWi92526840,,,800,inflation much money mean price rise eventually gas gallon
2,1353492090311720960,2021-01-25 07:57:15,exerts daily fix talk inflation roll deafening exuberance equity markets sins consensus camp see signs real yields rise amp fed tolerate steeper curve point usd fomc trading,"['fomc', 'trading']",ChrisWeston_PS,,,800,exert daily fix talk inflation roll deafen exuberance equity market sin consensus camp see sign real yield rise amp fed tolerate steep curve point usd fomc trading
3,1353492059370479617,2021-01-25 07:57:08,regards michellins explains recent price rises inflation aye,[],morejunkfromu,,,800,regard michellin explain recent price rise inflation aye
4,1353492005008113665,2021-01-25 07:56:55,oh mike since clearly unaware inflation levels cheat sheet,[],apecapital,,,800,oh mike since clearly unaware inflation level cheat sheet
5,1353491958057021451,2021-01-25 07:56:44,inflation trudeau care finances priorities feminists genders gay rights abortion progressive leftist political correctness woke climate diversity refugees migrants debt deficit radar,[],soc_justice1,,,800,inflation trudeau care finance priority feminist gender gay right abortion progressive leftist political correctness wake climate diversity refugee migrant debt deficit radar
6,1353491914952204288,2021-01-25 07:56:33,reserves mean anything inflation,[],Freddiesgato,,,800,reserve mean anything inflation
7,1353491713290088449,2021-01-25 07:55:45,macri tried volker thing embrace full dollarization despite borrowing enough usd peronists world mmt ers lowered rates assertion true argentina inflation fall cut rates,[],duganist,,,800,macri try volker thing embrace full dollarization despite borrow enough usd peronist world mmt er lower rate assertion true argentina inflation fall cut rate
8,1353491701105651712,2021-01-25 07:55:42,people low skills welfare food stamps raising minimum every state every state need cost living either cause inflation well,[],LeutyRuby,,,800,people low skill welfare food stamp raise minimum every state every state need cost living either cause inflation well
9,1353491667521826818,2021-01-25 07:55:34,oh yeah buying eth hedge inflation bitcoin oh yeah eth hedge btc uselessness,[],RNR_0,,,800,oh yeah buy eth hedge inflation bitcoin oh yeah eth hedge btc uselessness
10,1353491454405062657,2021-01-25 07:54:44,hey answer question minimum wage inflation much kept promise easy answer,[],Ghobsmacka,,,800,hey answer question minimum wage inflation much keep promise easy answer
11,1353491410629103618,2021-01-25 07:54:33,true taxes govt waste cause inflation everything cost produce,[],hcagc17,,,800,true taxis govt waste cause inflation everything cost produce
12,1353491096190513152,2021-01-25 07:53:18,fucking boomers updated talking points decade municating impossible hur dur solar power petitive inflation luxury apartments cause gentrification,[],AntinomeWLP,,,800,fuck boomer update talking point decade municate impossible hur dur solar power petitive inflation luxury apartment cause gentrification
13,1353491090419167232,2021-01-25 07:53:17,nein nicht der preis inflation die frage ist falsch es werden ohnehin jede menge nutzlosen kryptow hrungen geschaffen code base opensource bessere frage wird eine neue kryptow hrung vergleichbar bedeutend daf  muss beides stimmen technologie und das soziale ,[],EthernianD,,,800,nein nicht der preis inflation die frage ist falsch es werden ohnehin jede menge nutzlosen kryptow hrungen geschaffen code base opensource bessere frage wird eine neue kryptow hrung vergleichbar bedeutend daf   muss beide stimman technologie und das soziale
14,1353490888568303617,2021-01-25 07:52:29,like inflation quote sure everything fine,[],iTunerd,,,800,like inflation quote sure everything fine
15,1364726749133643776,2021-02-25 07:59:47,lmao us senator pretending inflation means parison today,[],ForestCemetery,,,800,lmao we senator pretend inflation mean parison today
16,1364726726157348872,2021-02-25 07:59:41,joking matter millions people know minimum wage risen years keep pace inflation far get per hour free lunch profit margins control,[],moinqueens,,,800,joke matter million people know minimum wage rise year keep pace inflation far get per hour free lunch profit margin control
17,1364726593042677762,2021-02-25 07:59:09,lumber price gone america since april average new home cost build increase fed chair powell said yesterday see inflation tho lol lumber copper aluminum groceries beginning,[],Chrisraman6,,,800,lumber price go america since april average new home cost build increase fed chair powell say yesterday see inflation tho lol lumber copper aluminum grocery begin
18,1364726591587291136,2021-02-25 07:59:09,always good sign congresspeople know pretend know inflation,[],von_todwin,,,800,always good sign congresspeople know pretend know inflation
19,1364726552643035140,2021-02-25 07:59:00,breaking govt plan exams teachers assess grades based mix coursework mocks questions exam boards checks moderation algorithms results   th aug anyone appeal major risk grade inflation pressure teachers mass appeals,[],PaulBrandITV,,,800,break govt plan exam teacher assess grade base mix coursework mock question exam board check moderation algorithm result    th aug anyone appeal major risk grade inflation pressure teacher mass appeal
20,1364726465112244230,2021-02-25 07:58:39,inflation,[],Cpo10za,,,800,inflation
21,1364726314603700224,2021-02-25 07:58:03,oh please assholes know minimum wage kept inflation find odd cook making couple bucks hour years later,[],Johnmatrix76,,,800,oh please asshole know minimum wage keep inflation find odd cook make couple buck hour year later
